TEMP,TSUSC,CSUSC,NSUSC,MASSS,FERRT,FERRM,TIME,172020_l1
-172.9,2200.3,2321.16,1,4144.9,0,0,0,0
-165.8,2198.6,2319.46,0.999,4141.9,0,0,23,0
-161.3,2194.9,2315.84,0.998,4135.4,0,0,46,0.56
-157.5,2196.9,2317.86,0.999,4139,0,0,69,0
-154.1,2196.6,2317.68,0.999,4138.7,0,0,91,5
-151.2,2196,2317.02,0.998,4137.5,0,0,114,0/1200
-148.4,2196.2,2317.2,0.998,4137.9,0,0,137,4
-145.7,2195.5,2316.48,0.998,4136.6,0,0,160,0
-142.8,2195.3,2316.49,0.998,4136.6,0,0,182,0
-139.9,2195.2,2316.2,0.998,4136.1,0,0,205,0
-137.3,2194.6,2315.5,0.998,4134.8,0,0,228,0
-134.6,2195,2316.18,0.998,4136,0,0,251,0
-131.9,2194.1,2315.35,0.997,4134.6,0,0,273,0
-128.8,2193.4,2314.74,0.997,4133.5,0,0,296,0
-126.6,2192.2,2313.69,0.997,4131.6,0,0,319,0
-124.2,2192.6,2314.2,0.997,4132.5,0,0,342,0
-121.5,2193.5,2315.25,0.997,4134.4,0,0,364,0
-118.8,2192,2313.86,0.997,4131.9,0,0,387,0
-116.3,2193.5,2315.45,0.998,4134.7,0,0,410,0
-113.9,2192.5,2314.52,0.997,4133.1,0,0,433,
-111.7,2192.2,2314.3,0.997,4132.7,0,0,456,
-109.2,2192.8,2314.99,0.997,4133.9,0,0,478,
-106.8,2192,2314.28,0.997,4132.6,0,0,501,0
-104.3,2192.2,2314.57,0.997,4133.2,0,0,524,0
-102.6,2192.3,2314.73,0.997,4133.5,0,0,547,0
-100.4,2191.4,2313.94,0.997,4132,0,0,569,0
-98.4,2191.8,2314.45,0.997,4132.9,0,0,592,0
-96.7,2191.6,2314.38,0.997,4132.8,0,0,615,0
-94.2,2191.1,2314.09,0.997,4132.3,0,0,638,0
-92.7,2191.4,2314.47,0.997,4133,0,0,660,0
-90.5,2190.9,2314.13,0.997,4132.4,0,0,683,0
-88.5,2191.9,2315.29,0.997,4134.4,0,0,706,0
-86.5,2191.3,2314.81,0.997,4133.6,0,0,729,0
-84.8,2190.3,2313.99,0.997,4132.1,0,0,751,0
-83,2190.9,2314.68,0.997,4133.4,0,0,774,0
-81.1,2190.8,2314.68,0.997,4133.4,0,0,797,0
-79.3,2190.8,2314.8,0.997,4133.6,0,0,820,0
-77.6,2190.6,2314.71,0.997,4133.4,0,0,842,0
-75.8,2190.4,2314.6,0.997,4133.2,0,0,865,0
-74.3,2190.8,2315.09,0.997,4134.1,0,0,888,0
-72.8,2191,2315.36,0.998,4134.6,0,0,911,0
-71.1,2190.5,2314.94,0.997,4133.8,0,0,934,0
-69.3,2190.8,2315.31,0.997,4134.5,0,0,957,0
-67.3,2191.1,2315.73,0.998,4135.2,0,0,979,0
-66.6,2190.5,2315.12,0.997,4134.1,0,0,1002,0
-64.6,2190.6,2315.27,0.997,4134.4,0,0,1025,0
-63.3,2190.2,2314.87,0.997,4133.7,0,0,1048,0
-61.8,2190.6,2315.3,0.997,4134.5,0,0,1070,
-60.3,2190.4,2315.08,0.997,4134.1,0,0,1093,
-59.1,2191.2,2315.92,0.998,4135.6,0,0,1116,
-57.1,2190.6,2315.3,0.997,4134.5,0,0,1139,
-56.1,2190.2,2314.92,0.997,4133.8,0,0,1161,
-54.8,2190,2314.74,0.997,4133.5,0,0,1184,
-53.3,2190.4,2315.14,0.997,4134.2,0,0,1207,
-52,2190.3,2315.04,0.997,4134,0,0,1230,
-50.8,2190.1,2314.84,0.997,4133.6,0,0,1252,
-49.3,2190.2,2314.93,0.997,4133.8,0,0,1275,
-48,2190.3,2315.01,0.997,4133.9,0,0,1298,
-47.2,2190.5,2315.22,0.997,4134.3,0,0,1321,
-46,2190.3,2315.02,0.997,4134,0,0,1343,
-44.5,2190.2,2314.95,0.997,4133.8,0,0,1366,
