TEMP,TSUSC,CSUSC,NSUSC,MASSS,FERRT,FERRM,TIME
-178.8,2225,2345.86,0.979,4189,0,0,0
-174.5,2226,2346.86,0.979,4190.8,0,0,23
-171.2,2226.4,2347.26,0.98,4191.5,0,0,46
-168.4,2227.1,2347.96,0.98,4192.8,0,0,69
-165.8,2228.4,2349.26,0.98,4195.1,0,0,92
-162.9,2229.6,2350.59,0.981,4197.5,0,0,115
-160.3,2231.5,2352.44,0.982,4200.8,0,0,137
-157.7,2232.8,2353.76,0.982,4203.1,0,0,160
-154.8,2237,2357.98,0.984,4210.7,0,0,183
-152,2241.3,2362.47,0.986,4218.7,0,0,206
-149.3,2249.3,2370.28,0.989,4232.6,0,0,229
-146.7,2260.2,2381.19,0.994,4252.1,0,0,252
-143.5,2268.5,2389.67,0.997,4267.3,0,0,275
-140.9,2272,2393.13,0.999,4273.4,0,0,297
-138.2,2274.2,2395.13,0.999,4277,0,0,320
-135.6,2274.3,2395.46,1,4277.6,0,0,343
-132.7,2273.3,2394.53,0.999,4275.9,0,0,366
-130.2,2272.5,2393.77,0.999,4274.6,0,0,389
-128.1,2271.6,2392.98,0.999,4273.2,0,0,412
-125.6,2269.5,2391.05,0.998,4269.7,0,0,435
-122.9,2268.9,2390.56,0.998,4268.9,0,0,457
-120.3,2267.9,2389.72,0.997,4267.4,0,0,480
-117.8,2266.8,2388.71,0.997,4265.6,0,0,503
-116.1,2265.6,2387.55,0.996,4263.5,0,0,526
-113.7,2265.1,2387.13,0.996,4262.7,0,0,549
-111.2,2264.5,2386.62,0.996,4261.8,0,0,572
-108.5,2264,2386.22,0.996,4261.1,0,0,595
-107,2263.5,2385.78,0.996,4260.3,0,0,617
-104.6,2262,2384.36,0.995,4257.8,0,0,641
-102.4,2262,2384.44,0.995,4257.9,0,0,663
-100.9,2261.6,2384.11,0.995,4257.3,0,0,686
-98.4,2261,2383.65,0.995,4256.5,0,0,709
-96.7,2260.5,2383.28,0.995,4255.9,0,0,732
-94.7,2260.3,2383.25,0.995,4255.8,0,0,755
-93,2259.9,2382.96,0.994,4255.3,0,0,778
-90.5,2259.5,2382.73,0.994,4254.9,0,0,800
-89,2259.9,2383.25,0.995,4255.8,0,0,823
-87.3,2259.4,2382.85,0.994,4255.1,0,0,846
-85.8,2259.5,2383.1,0.994,4255.5,0,0,869
-83.5,2259.3,2383.06,0.994,4255.5,0,0,892
-82.1,2258.8,2382.63,0.994,4254.7,0,0,915
-80.6,2258.6,2382.51,0.994,4254.5,0,0,937
-78.3,2258.8,2382.9,0.994,4255.2,0,0,960
-76.6,2258,2382.16,0.994,4253.9,0,0,983
-75.6,2258.6,2382.8,0.994,4255,0,0,1006
-73.8,2258,2382.33,0.994,4254.2,0,0,1029
-71.6,2258.6,2383.02,0.994,4255.4,0,0,1052
-70.1,2258.5,2382.99,0.994,4255.3,0,0,1074
-68.8,2258.2,2382.73,0.994,4254.9,0,0,1097
-67.3,2258.3,2382.93,0.994,4255.2,0,0,1120
-66.1,2258.5,2383.13,0.994,4255.6,0,0,1143
-64.3,2258.3,2382.96,0.994,4255.3,0,0,1165
-63.1,2258.6,2383.28,0.995,4255.9,0,0,1188
-61.6,2259.4,2384.08,0.995,4257.3,0,0,1211
-60.3,2258.3,2382.98,0.994,4255.3,0,0,1234
-58.8,2258.7,2383.4,0.995,4256.1,0,0,1257
-57.3,2259,2383.7,0.995,4256.6,0,0,1279
-56.3,2259.3,2384,0.995,4257.1,0,0,1302
-54.8,2259.2,2383.94,0.995,4257,0,0,1325
-53.5,2259.8,2384.54,0.995,4258.1,0,0,1348
-52,2259.3,2384.04,0.995,4257.2,0,0,1370
-50.8,2259.3,2384.04,0.995,4257.2,0,0,1393
-50,2259.4,2384.14,0.995,4257.4,0,0,1416
-48.5,2260.2,2384.92,0.995,4258.8,0,0,1439
-47.2,2259.9,2384.62,0.995,4258.3,0,0,1461
-46.2,2260.1,2384.82,0.995,4258.6,0,0,1484
